,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,monthly_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
10,nextauthjs,nextauthjs/next-auth,authentication,,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-09 15:21:00.000000,2023-11-09 15:21:00,2608.0,202.0,2377.0,98.0,2065.0,232.0,3458.0,19695.0,2023-10-18 15:07:14,next-auth@4.24.3,100.0,Authentication for the Web.,154730.0,154730.0,589.0,42,True,2744343.0,1.0,,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2744343.0,,,,,,,,,,
11,coredns,coredns/coredns,machine,,,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-11-09 13:49:06.000000,2023-11-09 13:49:05,3785.0,68.0,1877.0,237.0,4051.0,89.0,2111.0,11363.0,2023-08-15 20:00:30,1.11.1,67.0,CoreDNS is a DNS server that chains plugins.,5624.0,5624.0,371.0,41,True,2820920.0,1.0,"['linux-foundation', 'cncf']",6839628.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,252207901.0,,,,,,145.0,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,authorization,,,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-09 16:06:42.000000,2023-11-07 17:29:21,4861.0,136.0,1177.0,125.0,3961.0,317.0,2096.0,8665.0,2023-10-26 22:37:54,0.58.0,100.0,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",3040.0,3040.0,426.0,40,True,4850875.0,1.0,"['cncf', 'linux-foundation']",4457392.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-11-07 18:16:23.905618,452530284.0,,,,,,39.0,,,,,,,,,
13,oauthlib,oauthlib/oauthlib,authentication,,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-10-25 05:42:37.000000,2023-10-25 05:42:36,1677.0,29.0,458.0,69.0,492.0,76.0,293.0,2662.0,2023-01-10 13:13:43,3.2.2,48.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",456461.0,456461.0,195.0,40,True,84924058.0,1.0,,,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,84924058.0,,,,,,
14,cert-manager,cert-manager/cert-manager,pki,,,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-11-08 18:34:31.000000,2023-11-06 21:57:09,8126.0,175.0,1879.0,148.0,3117.0,164.0,2971.0,10863.0,2023-10-30 12:58:49,1.13.2,100.0,Automatically provision and manage TLS certificates in Kubernetes.,678.0,678.0,414.0,39,True,1621833.0,1.0,['linux-foundation'],61629684.0,,,,,,,,,,,,,,,,,,,
15,speechbrain,speechbrain/speechbrain,voice,,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-09 17:29:18.000000,2023-10-30 10:16:51,9583.0,264.0,1139.0,124.0,1020.0,95.0,861.0,6800.0,2023-07-22 18:07:47,0.5.15,9.0,A PyTorch-based Speech Toolkit.,1089.0,1089.0,223.0,38,True,188575.0,1.0,,,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,188575.0,,,,,,
16,passport,jaredhanson/passport,authentication,,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-10-19 15:43:32.000000,2023-03-10 17:27:55,617.0,,1184.0,311.0,156.0,334.0,424.0,21913.0,,,,"Simple, unobtrusive authentication for Node.js.",942135.0,942135.0,38.0,37,True,8796826.0,2.0,,,,,,,,,passport,https://www.npmjs.com/package/passport,8796826.0,,,,,,,,,,
17,keycloak,keycloak/keycloak,idp,,,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-09 17:26:13.000000,2023-11-09 12:34:51,23241.0,634.0,5632.0,368.0,13256.0,1920.0,5964.0,17954.0,2023-10-24 10:22:23,22.0.5,43.0,Open Source Identity and Access Management For Modern Applications and Services.,,,1285.0,37,True,62680.0,1.0,['cncf'],2193805.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
18,vault,hashicorp/vault,pki,,,https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-09 18:11:30.000000,2023-11-09 18:11:28,18514.0,657.0,3834.0,813.0,18201.0,917.0,4818.0,28830.0,2023-11-08 19:39:49,1.15.2,100.0,"A tool for secrets management, encryption as a service, and privileged access management.",6711.0,6711.0,1421.0,36,False,,2.0,['hashicorp'],,,,,,,,,,,,,,,,,,,,
19,ory-kratos,ory/kratos,idp,,,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-09 13:27:50.000000,2023-11-08 17:25:06,4023.0,148.0,807.0,108.0,1752.0,174.0,1001.0,9544.0,2023-07-12 20:24:48,1.0.0,43.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",326.0,326.0,213.0,36,True,1703631.0,1.0,['ory'],34677.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112389976.0,,,,,,17.0,,,,https://k8s.ory.sh/helm/charts,,,,,
